NAME,tothousing,state,county,GEOID
"Adjuntas Municipio, Puerto Rico",1456,72,001,72001
"Aguada Municipio, Puerto Rico",2200,72,003,72003
"Aguadilla Municipio, Puerto Rico",4026,72,005,72005
"Aguas Buenas Municipio, Puerto Rico",1406,72,007,72007
"Aibonito Municipio, Puerto Rico",1517,72,009,72009
"Arecibo Municipio, Puerto Rico",5923,72,013,72013
"Arroyo Municipio, Puerto Rico",962,72,015,72015
"Barceloneta Municipio, Puerto Rico",940,72,017,72017
"Barranquitas Municipio, Puerto Rico",1524,72,019,72019
"Cabo Rojo Municipio, Puerto Rico",2477,72,023,72023
"Caguas Municipio, Puerto Rico",8412,72,025,72025
"Camuy Municipio, Puerto Rico",1983,72,027,72027
"Carolina Municipio, Puerto Rico",10698,72,031,72031
"Cayey Municipio, Puerto Rico",2758,72,035,72035
"Ceiba Municipio, Puerto Rico",820,72,037,72037
"Ciales Municipio, Puerto Rico",1077,72,039,72039
"Cidra Municipio, Puerto Rico",2716,72,041,72041
"Coamo Municipio, Puerto Rico",2222,72,043,72043
"Corozal Municipio, Puerto Rico",1650,72,047,72047
"Culebra Municipio, Puerto Rico",225,72,049,72049
"Dorado Municipio, Puerto Rico",1933,72,051,72051
"Fajardo Municipio, Puerto Rico",2403,72,053,72053
"Florida Municipio, Puerto Rico",489,72,054,72054
"Guayama Municipio, Puerto Rico",2450,72,057,72057
"Guayanilla Municipio, Puerto Rico",1508,72,059,72059
"Guaynabo Municipio, Puerto Rico",5631,72,061,72061
"Gurabo Municipio, Puerto Rico",2170,72,063,72063
"Hatillo Municipio, Puerto Rico",1716,72,065,72065
"Hormigueros Municipio, Puerto Rico",1225,72,067,72067
"Humacao Municipio, Puerto Rico",2904,72,069,72069
"Isabela Municipio, Puerto Rico",2123,72,071,72071
"Jayuya Municipio, Puerto Rico",773,72,073,72073
"Juncos Municipio, Puerto Rico",1673,72,077,72077
"Lajas Municipio, Puerto Rico",1273,72,079,72079
"Lares Municipio, Puerto Rico",1892,72,081,72081
"Las Piedras Municipio, Puerto Rico",1767,72,085,72085
"Luquillo Municipio, Puerto Rico",1292,72,089,72089
"Maricao Municipio, Puerto Rico",489,72,093,72093
"Maunabo Municipio, Puerto Rico",660,72,095,72095
"Moca Municipio, Puerto Rico",1813,72,099,72099
"Morovis Municipio, Puerto Rico",1618,72,101,72101
"Naguabo Municipio, Puerto Rico",927,72,103,72103
"Naranjito Municipio, Puerto Rico",1526,72,105,72105
"Orocovis Municipio, Puerto Rico",1576,72,107,72107
"Patillas Municipio, Puerto Rico",945,72,109,72109
"Ponce Municipio, Puerto Rico",11441,72,113,72113
"Quebradillas Municipio, Puerto Rico",1102,72,115,72115
"Sabana Grande Municipio, Puerto Rico",1451,72,121,72121
"Salinas Municipio, Puerto Rico",1755,72,123,72123
"San Juan Municipio, Puerto Rico",26516,72,127,72127
"San Lorenzo Municipio, Puerto Rico",2247,72,129,72129
"Santa Isabel Municipio, Puerto Rico",1177,72,133,72133
"Toa Alta Municipio, Puerto Rico",3795,72,135,72135
"Toa Baja Municipio, Puerto Rico",5426,72,137,72137
"Trujillo Alto Municipio, Puerto Rico",4279,72,139,72139
"Utuado Municipio, Puerto Rico",2066,72,141,72141
"Vega Alta Municipio, Puerto Rico",2248,72,143,72143
"Vega Baja Municipio, Puerto Rico",2801,72,145,72145
"Vieques Municipio, Puerto Rico",315,72,147,72147
"Villalba Municipio, Puerto Rico",1788,72,149,72149
"Yabucoa Municipio, Puerto Rico",1966,72,151,72151
"Yauco Municipio, Puerto Rico",2395,72,153,72153
"Peñuelas Municipio, Puerto Rico",1716,72,111,72111
"Rincón Municipio, Puerto Rico",830,72,117,72117
"Añasco Municipio, Puerto Rico",1674,72,011,72011
"Las Marías Municipio, Puerto Rico",690,72,083,72083
"Guánica Municipio, Puerto Rico",1345,72,055,72055
"Mayagüez Municipio, Puerto Rico",5394,72,097,72097
"Comerío Municipio, Puerto Rico",1258,72,045,72045
"San Germán Municipio, Puerto Rico",2053,72,125,72125
"Loíza Municipio, Puerto Rico",2308,72,087,72087
"San Sebastián Municipio, Puerto Rico",1991,72,131,72131
"Cataño Municipio, Puerto Rico",2311,72,033,72033
"Manatí Municipio, Puerto Rico",2625,72,091,72091
"Juana Díaz Municipio, Puerto Rico",3464,72,075,72075
"Río Grande Municipio, Puerto Rico",3142,72,119,72119
"Bayamón Municipio, Puerto Rico",16335,72,021,72021
"Canóvanas Municipio, Puerto Rico",2835,72,029,72029
