GEOID,Municipio,SOCIOECON_17,HSECOMP_17,MINLANG_17,HSETRANS_17,OVERALL_17
72107,Orocovis,0.948,0.987,0.8571,0.4545,1
72073,Jayuya,0.6363,0.7142,0.961,0.8441,0.987
72087,Loíza,0.6883,0.6623,0.987,0.7662,0.974
72019,Barranquitas,0.4545,1,1,0.6103,0.961
72033,Cataño,0.8961,0.7532,0.4415,0.922,0.948
72149,Villalba,0.7532,0.8831,0.909,0.4285,0.935
72045,Comerío,0.8831,0.8181,0.7662,0.3246,0.922
72143,Vega Alta,0.8441,0.6493,0.2727,1,0.909
72015,Arroyo,0.2077,0.922,0.8831,0.7402,0.8961
72081,Lares,1,0.1428,0.8831,0.6883,0.8831
72057,Guayama,0.1428,0.961,0.6753,0.935,0.8701
72001,Adjuntas,0.987,0.3506,0.8311,0.4935,0.8571
72097,Mayagüez,0.909,0.5714,0.2727,0.8961,0.8441
72047,Corozal,0.8701,0.4155,0.5064,0.8311,0.8311
72005,Aguadilla,0.8571,0.7792,0.1168,0.8181,0.8181
72099,Moca,0.922,0.5324,0.5454,0.4805,0.7922
72113,Ponce,0.4025,0.7922,0.3246,0.961,0.7922
72123,Salinas,0.1818,0.935,0.7792,0.5584,0.7792
72077,Juncos,0.6623,0.948,0.3636,0.4675,0.7662
72055,Guánica,0.974,0.2727,0.5064,0.6753,0.7532
72093,Maricao,0.7012,0.0519,0.974,0.7012,0.7402
72131,San Sebastián,0.961,0.5844,0.4545,0.4155,0.7272
72091,Manatí,0.5454,0.6233,0.2467,0.987,0.7142
72053,Fajardo,0.5194,0.8311,0.1428,0.909,0.7012
72109,Patillas,0.7402,0.0389,0.922,0.6363,0.6883
72101,Morovis,0.6623,0.6883,0.8051,0.1298,0.6753
72151,Yabucoa,0.8181,0.4285,0.922,0.1038,0.6623
72035,Cayey,0.2727,0.909,0.4805,0.5974,0.6493
72039,Ciales,0.7792,0.6103,0.6623,0.1948,0.6363
72119,Río Grande,0.3116,0.5974,0.4155,0.8571,0.6233
72105,Naranjito,0.5714,0.5064,0.8441,0.2597,0.6103
72041,Cidra,0.2207,0.8961,0.7142,0.3376,0.5974
72029,Canóvanas,0.5714,0.7142,0.6363,0.2337,0.5844
72079,Lajas,0.7922,0.0779,0.6883,0.5844,0.5714
72075,Juana Díaz,0.3636,0.8571,0.6883,0.1688,0.5584
72023,Cabo Rojo,0.5454,0.1948,0.4155,0.8701,0.5324
72111,Peñuelas,0.6493,0.3766,0.948,0.0519,0.5324
72007,Aguas Buenas,0.8051,0.4545,0.5844,0.1558,0.5194
72121,Sabana Grande,0.4935,0.3116,0.5974,0.5714,0.5064
72129,San Lorenzo,0.3246,0.2337,0.8701,0.5454,0.4935
72025,Caguas,0.1168,0.8701,0.2077,0.7792,0.4805
72071,Isabela,0.7272,0.5454,0.2207,0.4415,0.4675
72059,Guayanilla,0.7142,0.4935,0.6493,0.0649,0.4545
72043,Coamo,0.0519,0.974,0.6233,0.2597,0.4415
72009,Aibonito,0.0779,0.4545,0.8051,0.5324,0.4155
72095,Maunabo,0.935,0.0129,0.5454,0.3766,0.4155
72103,Naguabo,0.4155,0.2597,0.7922,0.3506,0.4025
72021,Bayamón,0.0909,0.8051,0.1558,0.7532,0.3896
72153,Yauco,0.5324,0.3376,0.7272,0.2077,0.3766
72125,San Germán,0.4415,0.0909,0.3506,0.8831,0.3636
72069,Humacao,0.2467,0.4415,0.2597,0.7922,0.3506
72089,Luquillo,0.5974,0.2467,0.1688,0.7272,0.3376
72141,Utuado,0.8311,0.1558,0.5714,0.1428,0.3246
72083,Las Marías,0.4675,0.1038,0.6103,0.5194,0.3116
72017,Barceloneta,0.2337,0.6233,0.7402,0.0779,0.2987
72127,San Juan,0.1948,0.4545,0.0389,0.948,0.2857
72133,Santa Isabel,0.0649,0.8441,0.4545,0.2207,0.2727
72067,Hormigueros,0.5064,0.1818,0.3896,0.4935,0.2597
72013,Arecibo,0.2597,0.2857,0.3766,0.6233,0.2467
72031,Carolina,0.0389,0.7402,0.0909,0.6493,0.2337
72137,Toa Baja,0.1688,0.7012,0.2207,0.4025,0.2207
72145,Vega Baja,0.6233,0.3896,0.0649,0.3896,0.2077
72139,Trujillo Alto,0,0.5584,0.1818,0.7142,0.1948
72135,Toa Alta,0.0259,0.7662,0.2987,0.3506,0.1818
72037,Ceiba,0.3246,0.0649,0.1948,0.8051,0.1688
72049,Culebra,0.3896,0,0,0.974,0.1558
72085,Las Piedras,0.2857,0.2987,0.7532,0.0129,0.1428
72003,Aguada,0.7662,0.3896,0.0649,0.1168,0.1298
72115,Quebradillas,0.4155,0.3246,0.4935,0.0909,0.1168
72063,Gurabo,0.1558,0.6753,0.1168,0.2857,0.1038
72011,Añasco,0.3766,0.2207,0.3116,0.2467,0.0909
72051,Dorado,0.3506,0.5194,0.0519,0.1818,0.0779
72117,Rincón,0.5974,0.1298,0.0129,0.3116,0.0649
72027,Camuy,0.4805,0.1688,0.3376,0.0389,0.0519
72065,Hatillo,0.2987,0.1168,0.5324,0,0.0389
72054,Florida,0.1298,0.3636,0.3896,0.0259,0.0259
72147,Vieques,0.1038,0.0259,0.1038,0.6623,0.0129
72061,Guaynabo,0.0129,0.2077,0.0259,0.2987,0
