NAME,GEOID,totpop_16,totpop_17,totpop_18,totpopdens_16,totpopdens_17,totpopdens_18,Area_km2
"Census Tract 7501.02, Yauco ",72153750102,183,165,150,8,7,6,23.58355914
"Census Tract 7502.01, Yauco ",72153750201,193,164,150,4,3,3,50.96664587
"Census Tract 7502.02, Yauco ",72153750202,217,196,200,19,17,18,11.23055873
"Census Tract 7503, Yauco ",72153750300,253,233,200,128,118,101,1.97406909
"Census Tract 7504, Yauco ",72153750400,188,175,150,73,68,58,2.57327958
"Census Tract 7505.01, Yauco ",72153750501,375,339,350,209,189,195,1.79574563
"Census Tract 7505.02, Yauco ",72153750502,208,214,250,301,310,362,0.68992873
"Census Tract 7505.03, Yauco ",72153750503,213,187,200,64,56,60,3.32482947
"Census Tract 7506.01, Yauco ",72153750601,256,218,200,23,20,18,10.99156121
"Census Tract 7506.02, Yauco ",72153750602,159,155,150,9,9,9,17.54489747
"Census Tract 9552.02, Morovis ",72101955202,325,309,300,21,20,19,15.64056361
"Census Tract 9553, Morovis ",72101955300,303,282,300,14,13,14,21.17606735
"Census Tract 9554.01, Morovis ",72101955401,236,240,250,5,5,5,45.60301308
"Census Tract 9554.02, Morovis ",72101955402,201,209,200,23,24,23,8.88448866
"Census Tract 9555, Morovis ",72101955500,254,247,200,151,147,119,1.68239320
"Census Tract 1701, Naguabo ",72103170100,226,193,200,6,6,6,35.05577974
"Census Tract 1702, Naguabo ",72103170200,259,223,250,5,4,5,55.31747233
"Census Tract 1703, Naguabo ",72103170300,185,191,200,6,6,7,29.86145641
"Census Tract 1704, Naguabo ",72103170400,257,230,250,17,15,17,14.97976362
"Census Tract 5201, Naranjito ",72105520100,342,299,250,30,27,22,11.23129148
"Census Tract 5202, Naranjito ",72105520200,318,281,250,26,23,20,12.25230797
"Census Tract 5203, Naranjito ",72105520300,249,235,200,108,102,87,2.30365143
"Census Tract 5204, Naranjito ",72105520400,312,278,250,14,12,11,22.26586758
"Census Tract 5205, Naranjito ",72105520500,305,265,250,13,11,10,23.81440521
"Census Tract 9548.01, Orocovis ",72107954801,243,219,200,10,9,9,23.32326554
"Census Tract 9548.02, Orocovis ",72107954802,165,152,150,13,12,11,13.11787579
"Census Tract 9549.01, Orocovis ",72107954901,222,193,200,3,3,3,65.06841633
"Census Tract 9549.02, Orocovis ",72107954902,210,196,200,9,8,8,24.19246692
"Census Tract 9550.01, Orocovis ",72107955001,327,303,300,15,14,14,21.41068590
"Census Tract 9550.02, Orocovis ",72107955002,200,177,200,16,14,16,12.57041311
"Census Tract 9551, Orocovis ",72107955100,209,195,200,38,35,36,5.50813510
"Census Tract 2901, Patillas ",72109290100,205,194,200,3,3,3,64.14908444
"Census Tract 2902, Patillas ",72109290200,217,193,150,13,12,9,16.73834018
"Census Tract 2903, Patillas ",72109290300,301,288,300,27,26,27,10.96340955
"Census Tract 2904, Patillas ",72109290400,222,197,200,7,7,7,30.02089280
"Census Tract 7301, Pe?uelas ",72111730100,385,314,300,12,10,9,32.02135373
"Census Tract 7302, Pe?uelas ",72111730200,266,242,250,14,12,13,19.66748273
"Census Tract 7303, Pe?uelas ",72111730300,313,258,250,17,14,14,18.40539955
"Census Tract 7304, Pe?uelas ",72111730400,267,241,250,215,194,201,1.24380670
"Census Tract 7307, Pe?uelas ",72111730700,285,279,250,14,13,12,21.09112514
"Census Tract 7308, Pe?uelas ",72111730800,200,191,200,8,8,8,23.71320095
"Census Tract 9900, Pe?uelas ",72111990000,0,0,0,0,0,0,0.00784810
"Census Tract 701, Ponce ",72113070100,332,332,300,64,64,58,5.18422780
"Census Tract 702.01, Ponce ",72113070201,222,187,200,172,145,155,1.28867332
"Census Tract 702.02, Ponce ",72113070202,162,129,100,85,67,52,1.91172242
"Census Tract 703, Ponce ",72113070300,204,190,200,349,325,342,0.58481935
"Census Tract 704, Ponce ",72113070400,166,171,150,515,531,465,0.32226389
"Census Tract 705.02, Ponce ",72113070502,276,253,250,143,131,130,1.92738088
"Census Tract 705.03, Ponce ",72113070503,310,285,300,252,231,244,1.23198797
"Census Tract 705.13, Ponce ",72113070513,211,190,200,176,159,167,1.19686975
"Census Tract 705.14, Ponce ",72113070514,214,202,200,356,336,332,0.60177720
"Census Tract 705.22, Ponce ",72113070522,251,227,250,282,255,280,0.89161400
"Census Tract 708, Ponce ",72113070800,177,150,150,477,404,404,0.37142549
"Census Tract 709, Ponce ",72113070900,153,129,100,218,184,143,0.70091789
"Census Tract 710, Ponce ",72113071000,186,176,150,700,663,565,0.26562672
"Census Tract 712, Ponce ",72113071200,183,172,150,160,150,131,1.14658885
"Census Tract 713, Ponce ",72113071300,262,239,250,498,454,475,0.52600728
"Census Tract 714.01, Ponce ",72113071401,292,277,300,448,425,461,0.65107210
"Census Tract 714.02, Ponce ",72113071402,330,284,300,243,209,221,1.35761387
"Census Tract 715, Ponce ",72113071500,296,259,250,269,236,228,1.09879875
"Census Tract 716.01, Ponce ",72113071601,202,175,150,156,135,116,1.29588592
"Census Tract 716.02, Ponce ",72113071602,247,217,200,202,177,163,1.22546567
"Census Tract 717, Ponce ",72113071700,164,148,150,154,139,141,1.06757759
"Census Tract 718, Ponce ",72113071800,139,132,150,281,267,304,0.49404229
"Census Tract 719, Ponce ",72113071900,336,310,300,227,209,202,1.48295202
"Census Tract 720, Ponce ",72113072000,267,261,250,213,208,199,1.25482741
"Census Tract 721.01, Ponce ",72113072101,209,187,200,61,54,58,3.45324678
"Census Tract 721.02, Ponce ",72113072102,204,191,200,50,47,49,4.08538398
"Census Tract 722.01, Ponce ",72113072201,275,278,300,55,56,60,4.97660678
"Census Tract 722.02, Ponce ",72113072202,361,349,300,62,60,52,5.82272973
"Census Tract 723, Ponce ",72113072300,152,142,150,5,5,5,30.01622732
"Census Tract 724, Ponce ",72113072400,241,222,200,21,19,18,11.41576634
"Census Tract 725, Ponce ",72113072500,274,247,250,13,12,12,21.18373762
"Census Tract 726, Ponce ",72113072600,227,186,200,3,2,2,85.69003901
"Census Tract 727.01, Ponce ",72113072701,298,294,250,164,162,137,1.81923707
"Census Tract 727.03, Ponce ",72113072703,344,327,300,21,20,19,16.06802159
"Census Tract 727.04, Ponce ",72113072704,239,210,200,19,16,16,12.79541910
"Census Tract 729, Ponce ",72113072900,299,262,250,14,12,11,21.99180310
"Census Tract 730.01, Ponce ",72113073001,227,193,200,12,10,11,18.86671637
"Census Tract 730.02, Ponce ",72113073002,319,296,300,26,24,25,12.19305288
"Census Tract 730.03, Ponce ",72113073003,229,224,250,40,39,43,5.76614864
"Census Tract 730.04, Ponce ",72113073004,270,250,250,60,56,56,4.49208320
"Census Tract 730.05, Ponce ",72113073005,267,226,250,209,177,195,1.27884905
"Census Tract 730.06, Ponce ",72113073006,240,207,200,164,142,137,1.46044933
"Census Tract 730.08, Ponce ",72113073008,597,503,500,123,104,103,4.83715174
"Census Tract 730.09, Ponce ",72113073009,310,298,300,124,119,120,2.50461865
"Census Tract 730.10, Ponce ",72113073010,277,239,250,68,59,61,4.07921357
"Census Tract 3301, Quebradillas ",72115330100,278,261,250,22,21,20,12.54950511
"Census Tract 3302, Quebradillas ",72115330200,237,201,200,40,34,34,5.91606541
"Census Tract 3303, Quebradillas ",72115330300,366,317,300,27,23,22,13.56100062
"Census Tract 3304, Quebradillas ",72115330400,221,197,200,8,7,7,28.01560968
"Census Tract 9594, Rincon ",72117959400,347,290,300,20,17,17,17.38984243
"Census Tract 9595, Rincon ",72117959500,204,166,150,47,39,35,4.30267888
"Census Tract 9596, Rincon ",72117959600,279,250,250,18,16,16,15.48540329
"Census Tract 1301.01, Rio Grande ",72119130101,206,194,200,30,29,29,6.80308509
"Census Tract 1301.02, Rio Grande ",72119130102,329,316,300,19,19,18,17.06416815
"Census Tract 1302, Rio Grande ",72119130200,251,247,250,39,39,39,6.40420832
"Census Tract 1303, Rio Grande ",72119130300,271,255,250,31,29,29,8.72011890
"Census Tract 1304.01, Rio Grande ",72119130401,204,193,200,53,50,52,3.87803967
"Census Tract 1304.02, Rio Grande ",72119130402,350,305,300,67,58,57,5.21955173
"Census Tract 1305, Rio Grande ",72119130500,259,233,250,214,193,207,1.20981892
"Census Tract 1306.01, Rio Grande ",72119130601,217,211,200,30,30,28,7.13396343
"Census Tract 1306.02, Rio Grande ",72119130602,429,357,350,8,7,7,52.04790848
"Census Tract 1307.01, Rio Grande ",72119130701,289,254,250,7,7,6,38.98599701
"Census Tract 1307.02, Rio Grande ",72119130702,337,305,300,31,28,27,10.91931241
"Census Tract 9927, Rio Grande ",72119992700,0,0,0,0,0,0,0.01389776
"Census Tract 9603, Sabana Grande ",72121960300,193,193,200,3,3,4,55.75933241
"Census Tract 9604, Sabana Grande ",72121960400,260,258,250,179,177,172,1.45615094
"Census Tract 9605, Sabana Grande ",72121960500,156,144,150,263,243,253,0.59339809
"Census Tract 9606, Sabana Grande ",72121960600,289,258,250,148,132,128,1.95252733
"Census Tract 9607, Sabana Grande ",72121960700,332,310,300,17,16,15,19.58849331
"Census Tract 9608, Sabana Grande ",72121960800,221,204,200,15,14,14,14.72567724
"Census Tract 9526, Salinas ",72123952600,200,184,150,5,5,4,36.83380411
"Census Tract 9527, Salinas ",72123952700,227,209,200,3,3,3,69.75492465
"Census Tract 9528, Salinas ",72123952800,264,235,200,13,11,10,20.54110615
"Census Tract 9529, Salinas ",72123952900,367,306,350,12,10,11,31.22690355
"Census Tract 9530, Salinas ",72123953000,172,169,150,199,196,174,0.86344249
"Census Tract 9531, Salinas ",72123953100,255,238,250,292,272,286,0.87421133
"Census Tract 9532, Salinas ",72123953200,270,255,250,9,8,8,31.54602279
"Census Tract 8401, San German ",72125840100,260,236,250,6,5,5,46.55759466
"Census Tract 8402, San German ",72125840200,266,232,250,8,7,7,34.76514250
"Census Tract 8403, San German ",72125840300,303,279,250,17,16,14,17.62677841
"Census Tract 8404, San German ",72125840400,241,218,200,35,32,29,6.81747151
"Census Tract 8405, San German ",72125840500,411,376,400,78,71,76,5.28043055
"Census Tract 8406, San German ",72125840600,280,250,250,11,10,10,25.71308883
"Census Tract 8407, San German ",72125840700,292,275,250,66,62,57,4.41389905
"Census Tract 4, San Juan ",72127000400,155,159,150,1096,1124,1061,0.14141953
"Census Tract 5.06, San Juan ",72127000506,122,131,150,241,259,296,0.50669301
"Census Tract 6, San Juan ",72127000600,202,184,150,114,104,85,1.76431640
"Census Tract 7, San Juan ",72127000700,270,262,250,245,238,227,1.10241964
"Census Tract 9, San Juan ",72127000900,190,178,200,193,180,203,0.98663629
"Census Tract 10, San Juan ",72127001000,207,197,200,312,297,302,0.66257054
"Census Tract 11, San Juan ",72127001100,176,166,150,501,473,427,0.35106891
"Census Tract 12, San Juan ",72127001200,139,121,100,190,165,136,0.73301507
"Census Tract 13.01, San Juan ",72127001301,200,213,200,1023,1089,1023,0.19557292
"Census Tract 13.02, San Juan ",72127001302,315,294,300,1163,1086,1108,0.27076438
"Census Tract 14, San Juan ",72127001400,131,118,100,836,753,638,0.15678665
"Census Tract 9563, Adjuntas ",72001956300,283,263,250,6,6,6,44.92520365
"Census Tract 9564, Adjuntas ",72001956400,182,159,150,5,4,4,37.78269170
"Census Tract 9565, Adjuntas ",72001956500,189,168,150,4,4,3,44.96889063
"Census Tract 9566, Adjuntas ",72001956600,256,228,200,129,115,101,1.98109857
"Census Tract 9567, Adjuntas ",72001956700,248,211,200,180,153,145,1.38004353
"Census Tract 9568, Adjuntas ",72001956800,298,259,250,7,6,6,42.73958656
"Census Tract 4301, Aguada ",72003430100,275,252,250,19,18,17,14.30305913
"Census Tract 4302, Aguada ",72003430200,236,205,200,38,33,32,6.23179968
"Census Tract 4303, Aguada ",72003430300,152,148,150,82,79,80,1.86428602
"Census Tract 4304.01, Aguada ",72003430401,313,275,250,49,43,39,6.33392953
"Census Tract 4304.02, Aguada ",72003430402,274,254,250,23,21,21,11.90804162
"Census Tract 4305.01, Aguada ",72003430501,197,181,200,18,16,18,11.03122749
"Census Tract 4305.02, Aguada ",72003430502,315,281,300,30,27,28,10.55271208
"Census Tract 4306.01, Aguada ",72003430601,227,232,250,23,23,25,10.02409885
"Census Tract 4306.02, Aguada ",72003430602,211,199,200,25,24,24,8.40441178
"Census Tract 4001, Aguadilla ",72005400100,179,167,150,23,21,19,7.91583903
"Census Tract 4003, Aguadilla ",72005400300,269,277,250,26,27,24,10.27642477
"Census Tract 4004, Aguadilla ",72005400400,282,234,250,42,35,37,6.67003322
"Census Tract 4005.01, Aguadilla ",72005400501,282,272,250,75,72,66,3.76433920
"Census Tract 4005.02, Aguadilla ",72005400502,259,236,250,52,47,50,5.01417864
"Census Tract 4006, Aguadilla ",72005400600,208,206,200,186,184,179,1.11666485
"Census Tract 4007, Aguadilla ",72005400700,192,191,200,92,92,96,2.07620587
"Census Tract 4008, Aguadilla ",72005400800,153,132,150,353,305,346,0.43293516
"Census Tract 4009, Aguadilla ",72005400900,157,154,150,140,137,134,1.12148828
"Census Tract 15, San Juan ",72127001500,156,155,150,589,586,567,0.26463995
"Census Tract 16, San Juan ",72127001600,163,143,150,474,415,436,0.34424320
"Census Tract 18, San Juan ",72127001800,138,143,150,316,327,343,0.43701769
"Census Tract 19, San Juan ",72127001900,274,253,250,548,506,500,0.49985819
"Census Tract 20.02, San Juan ",72127002002,142,130,100,1036,949,730,0.13703877
"Census Tract 21, San Juan ",72127002100,97,77,80,197,156,163,0.49226660
"Census Tract 22, San Juan ",72127002200,162,146,150,681,614,630,0.23795923
"Census Tract 23, San Juan ",72127002300,123,81,80,368,243,240,0.33396375
"Census Tract 24, San Juan ",72127002400,293,281,250,653,626,557,0.44856312
"Census Tract 25, San Juan ",72127002500,165,155,150,780,732,709,0.21161924
"Census Tract 26, San Juan ",72127002600,138,139,100,519,523,376,0.26571434
"Census Tract 28, San Juan ",72127002800,151,145,100,497,478,329,0.30366242
"Census Tract 29, San Juan ",72127002900,161,159,150,551,544,513,0.29230348
"Census Tract 30, San Juan ",72127003000,170,160,150,1066,1003,941,0.15946026
"Census Tract 31, San Juan ",72127003100,161,151,100,771,723,479,0.20894357
"Census Tract 32, San Juan ",72127003200,211,205,200,910,884,862,0.23198224
"Census Tract 33, San Juan ",72127003300,156,150,150,642,618,618,0.24287400
"Census Tract 34, San Juan ",72127003400,219,197,200,402,362,367,0.54474144
"Census Tract 35.01, San Juan ",72127003501,297,267,250,292,263,246,1.01629743
"Census Tract 35.02, San Juan ",72127003502,150,134,100,557,497,371,0.26947631
"Census Tract 36, San Juan ",72127003600,108,106,100,594,583,550,0.18194842
"Census Tract 37, San Juan ",72127003700,284,267,200,623,586,439,0.45599036
"Census Tract 38, San Juan ",72127003800,162,141,150,744,647,689,0.21779455
"Census Tract 39.02, San Juan ",72127003902,242,234,250,192,186,198,1.25952717
"Census Tract 42, San Juan ",72127004200,246,222,200,48,43,39,5.17142481
"Census Tract 43.06, San Juan ",72127004306,159,153,150,815,784,769,0.19509308
"Census Tract 44, San Juan ",72127004400,185,169,150,535,489,434,0.34568465
"Census Tract 45, San Juan ",72127004500,222,183,200,940,775,847,0.23611729
"Census Tract 46, San Juan ",72127004600,287,251,250,601,526,524,0.47729699
"Census Tract 47, San Juan ",72127004700,191,180,200,122,115,127,1.57063946
"Census Tract 48, San Juan ",72127004800,190,169,150,998,888,788,0.19036724
