NAME,tothousing,state,county,GEOID
"Hatillo Municipio, Puerto Rico",1600,72,065,72065
"Humacao Municipio, Puerto Rico",2500,72,069,72069
"Morovis Municipio, Puerto Rico",1600,72,101,72101
"Mayag�ez Municipio, Puerto Rico",5000,72,097,72097
"Trujillo Alto Municipio, Puerto Rico",3800,72,139,72139
"Quebradillas Municipio, Puerto Rico",900,72,115,72115
"Moca Municipio, Puerto Rico",1700,72,099,72099
"Culebra Municipio, Puerto Rico",200,72,049,72049
"Salinas Municipio, Puerto Rico",1600,72,123,72123
"Barceloneta Municipio, Puerto Rico",850,72,017,72017
"Yauco Municipio, Puerto Rico",2200,72,153,72153
"Guaynabo Municipio, Puerto Rico",4600,72,061,72061
"Cabo Rojo Municipio, Puerto Rico",2100,72,023,72023
"Fajardo Municipio, Puerto Rico",2100,72,053,72053
"Patillas Municipio, Puerto Rico",850,72,109,72109
"Rinc�n Municipio, Puerto Rico",750,72,117,72117
"Aguas Buenas Municipio, Puerto Rico",1200,72,007,72007
"Bayam�n Municipio, Puerto Rico",14500,72,021,72021
"Cayey Municipio, Puerto Rico",2400,72,035,72035
"Maunabo Municipio, Puerto Rico",600,72,095,72095
"Pe�uelas Municipio, Puerto Rico",1500,72,111,72111
"San Sebasti�n Municipio, Puerto Rico",1800,72,131,72131
"Toa Alta Municipio, Puerto Rico",3400,72,135,72135
"Vieques Municipio, Puerto Rico",300,72,147,72147
"Yabucoa Municipio, Puerto Rico",1700,72,151,72151
"Caguas Municipio, Puerto Rico",7300,72,025,72025
"Can�vanas Municipio, Puerto Rico",2500,72,029,72029
"Coamo Municipio, Puerto Rico",2000,72,043,72043
"Dorado Municipio, Puerto Rico",1600,72,051,72051
"Barranquitas Municipio, Puerto Rico",1300,72,019,72019
"Orocovis Municipio, Puerto Rico",1400,72,107,72107
"A�asco Municipio, Puerto Rico",1400,72,011,72011
"Ceiba Municipio, Puerto Rico",700,72,037,72037
"Comer�o Municipio, Puerto Rico",1000,72,045,72045
"Isabela Municipio, Puerto Rico",1900,72,071,72071
"Lares Municipio, Puerto Rico",1800,72,081,72081
"Las Piedras Municipio, Puerto Rico",1600,72,085,72085
"San Juan Municipio, Puerto Rico",23500,72,127,72127
"Vega Alta Municipio, Puerto Rico",1900,72,143,72143
"Maricao Municipio, Puerto Rico",450,72,093,72093
"Aibonito Municipio, Puerto Rico",1300,72,009,72009
"Juncos Municipio, Puerto Rico",1500,72,077,72077
"Sabana Grande Municipio, Puerto Rico",1400,72,121,72121
"Hormigueros Municipio, Puerto Rico",1100,72,067,72067
"Adjuntas Municipio, Puerto Rico",1200,72,001,72001
"Camuy Municipio, Puerto Rico",1700,72,027,72027
"Gu�nica Municipio, Puerto Rico",1200,72,055,72055
"Manat� Municipio, Puerto Rico",2400,72,091,72091
"Naguabo Municipio, Puerto Rico",850,72,103,72103
"Naranjito Municipio, Puerto Rico",1300,72,105,72105
"San Germ�n Municipio, Puerto Rico",1900,72,125,72125
"Utuado Municipio, Puerto Rico",1800,72,141,72141
"Arecibo Municipio, Puerto Rico",5200,72,013,72013
"Arroyo Municipio, Puerto Rico",850,72,015,72015
"Cata�o Municipio, Puerto Rico",2100,72,033,72033
"Florida Municipio, Puerto Rico",450,72,054,72054
"Juana D�az Municipio, Puerto Rico",3100,72,075,72075
"Santa Isabel Municipio, Puerto Rico",1100,72,133,72133
"Guayama Municipio, Puerto Rico",2200,72,057,72057
"Gurabo Municipio, Puerto Rico",1900,72,063,72063
"Lo�za Municipio, Puerto Rico",2100,72,087,72087
"Aguadilla Municipio, Puerto Rico",3800,72,005,72005
"Las Mar�as Municipio, Puerto Rico",600,72,083,72083
"Villalba Municipio, Puerto Rico",1600,72,149,72149
"Carolina Municipio, Puerto Rico",9400,72,031,72031
"Corozal Municipio, Puerto Rico",1500,72,047,72047
"Ponce Municipio, Puerto Rico",10000,72,113,72113
"Toa Baja Municipio, Puerto Rico",4800,72,137,72137
"Aguada Municipio, Puerto Rico",2000,72,003,72003
"Ciales Municipio, Puerto Rico",950,72,039,72039
"Cidra Municipio, Puerto Rico",2200,72,041,72041
"Luquillo Municipio, Puerto Rico",1100,72,089,72089
"San Lorenzo Municipio, Puerto Rico",1900,72,129,72129
"Jayuya Municipio, Puerto Rico",750,72,073,72073
"R�o Grande Municipio, Puerto Rico",2800,72,119,72119
"Vega Baja Municipio, Puerto Rico",2700,72,145,72145
"Guayanilla Municipio, Puerto Rico",1400,72,059,72059
"Lajas Municipio, Puerto Rico",1100,72,079,72079
