NAME,GEOID,totpop_16,totpop_17,totpop_18
"Census Tract 727.04, Ponce Municipio, Puerto Rico",72113072704,239,210,200
"Census Tract 729, Ponce Municipio, Puerto Rico",72113072900,299,262,250
"Census Tract 730.01, Ponce Municipio, Puerto Rico",72113073001,227,193,200
"Census Tract 730.02, Ponce Municipio, Puerto Rico",72113073002,319,296,300
"Census Tract 730.03, Ponce Municipio, Puerto Rico",72113073003,229,224,250
"Census Tract 730.04, Ponce Municipio, Puerto Rico",72113073004,270,250,250
"Census Tract 730.05, Ponce Municipio, Puerto Rico",72113073005,267,226,250
"Census Tract 730.06, Ponce Municipio, Puerto Rico",72113073006,240,207,200
"Census Tract 730.08, Ponce Municipio, Puerto Rico",72113073008,597,503,500
"Census Tract 730.09, Ponce Municipio, Puerto Rico",72113073009,310,298,300
"Census Tract 730.10, Ponce Municipio, Puerto Rico",72113073010,277,239,250
"Census Tract 9930, Ponce Municipio, Puerto Rico",72113993000,0,0,0
"Census Tract 3301, Quebradillas Municipio, Puerto Rico",72115330100,278,261,250
"Census Tract 3302, Quebradillas Municipio, Puerto Rico",72115330200,237,201,200
"Census Tract 3303, Quebradillas Municipio, Puerto Rico",72115330300,366,317,300
"Census Tract 3304, Quebradillas Municipio, Puerto Rico",72115330400,221,197,200
"Census Tract 9900, Quebradillas Municipio, Puerto Rico",72115990000,0,0,0
"Census Tract 9594, Rincon Municipio, Puerto Rico",72117959400,347,290,300
"Census Tract 9595, Rincon Municipio, Puerto Rico",72117959500,204,166,150
"Census Tract 9596, Rincon Municipio, Puerto Rico",72117959600,279,250,250
"Census Tract 9904, Rincon Municipio, Puerto Rico",72117990400,0,0,0
"Census Tract 1301.01, Rio Grande Municipio, Puerto Rico",72119130101,206,194,200
"Census Tract 1301.02, Rio Grande Municipio, Puerto Rico",72119130102,329,316,300
"Census Tract 1302, Rio Grande Municipio, Puerto Rico",72119130200,251,247,250
"Census Tract 1303, Rio Grande Municipio, Puerto Rico",72119130300,271,255,250
"Census Tract 1304.01, Rio Grande Municipio, Puerto Rico",72119130401,204,193,200
"Census Tract 1304.02, Rio Grande Municipio, Puerto Rico",72119130402,350,305,300
"Census Tract 1305, Rio Grande Municipio, Puerto Rico",72119130500,259,233,250
"Census Tract 1306.01, Rio Grande Municipio, Puerto Rico",72119130601,217,211,200
"Census Tract 1306.02, Rio Grande Municipio, Puerto Rico",72119130602,429,357,350
"Census Tract 1307.01, Rio Grande Municipio, Puerto Rico",72119130701,289,254,250
"Census Tract 1307.02, Rio Grande Municipio, Puerto Rico",72119130702,337,305,300
"Census Tract 9927, Rio Grande Municipio, Puerto Rico",72119992700,0,0,0
"Census Tract 9603, Sabana Grande Municipio, Puerto Rico",72121960300,193,193,200
"Census Tract 9604, Sabana Grande Municipio, Puerto Rico",72121960400,260,258,250
"Census Tract 9605, Sabana Grande Municipio, Puerto Rico",72121960500,156,144,150
"Census Tract 9606, Sabana Grande Municipio, Puerto Rico",72121960600,289,258,250
"Census Tract 9607, Sabana Grande Municipio, Puerto Rico",72121960700,332,310,300
"Census Tract 9608, Sabana Grande Municipio, Puerto Rico",72121960800,221,204,200
"Census Tract 9526, Salinas Municipio, Puerto Rico",72123952600,200,184,150
"Census Tract 9527, Salinas Municipio, Puerto Rico",72123952700,227,209,200
"Census Tract 9528, Salinas Municipio, Puerto Rico",72123952800,264,235,200
"Census Tract 9529, Salinas Municipio, Puerto Rico",72123952900,367,306,350
"Census Tract 9530, Salinas Municipio, Puerto Rico",72123953000,172,169,150
"Census Tract 9531, Salinas Municipio, Puerto Rico",72123953100,255,238,250
"Census Tract 9532, Salinas Municipio, Puerto Rico",72123953200,270,255,250
"Census Tract 9928, Salinas Municipio, Puerto Rico",72123992800,0,0,0
"Census Tract 8401, San German Municipio, Puerto Rico",72125840100,260,236,250
"Census Tract 8402, San German Municipio, Puerto Rico",72125840200,266,232,250
"Census Tract 8403, San German Municipio, Puerto Rico",72125840300,303,279,250
"Census Tract 8404, San German Municipio, Puerto Rico",72125840400,241,218,200
"Census Tract 8405, San German Municipio, Puerto Rico",72125840500,411,376,400
"Census Tract 8406, San German Municipio, Puerto Rico",72125840600,280,250,250
"Census Tract 8407, San German Municipio, Puerto Rico",72125840700,292,275,250
"Census Tract 4, San Juan Municipio, Puerto Rico",72127000400,155,159,150
"Census Tract 5.06, San Juan Municipio, Puerto Rico",72127000506,122,131,150
"Census Tract 6, San Juan Municipio, Puerto Rico",72127000600,202,184,150
"Census Tract 7, San Juan Municipio, Puerto Rico",72127000700,270,262,250
"Census Tract 9, San Juan Municipio, Puerto Rico",72127000900,190,178,200
"Census Tract 10, San Juan Municipio, Puerto Rico",72127001000,207,197,200
"Census Tract 11, San Juan Municipio, Puerto Rico",72127001100,176,166,150
"Census Tract 12, San Juan Municipio, Puerto Rico",72127001200,139,121,100
"Census Tract 13.01, San Juan Municipio, Puerto Rico",72127001301,200,213,200
"Census Tract 13.02, San Juan Municipio, Puerto Rico",72127001302,315,294,300
"Census Tract 14, San Juan Municipio, Puerto Rico",72127001400,131,118,100
"Census Tract 9563, Adjuntas Municipio, Puerto Rico",72001956300,283,263,250
"Census Tract 9564, Adjuntas Municipio, Puerto Rico",72001956400,182,159,150
"Census Tract 9565, Adjuntas Municipio, Puerto Rico",72001956500,189,168,150
"Census Tract 9566, Adjuntas Municipio, Puerto Rico",72001956600,256,228,200
"Census Tract 9567, Adjuntas Municipio, Puerto Rico",72001956700,248,211,200
"Census Tract 9568, Adjuntas Municipio, Puerto Rico",72001956800,298,259,250
"Census Tract 4301, Aguada Municipio, Puerto Rico",72003430100,275,252,250
"Census Tract 4302, Aguada Municipio, Puerto Rico",72003430200,236,205,200
"Census Tract 4303, Aguada Municipio, Puerto Rico",72003430300,152,148,150
"Census Tract 4304.01, Aguada Municipio, Puerto Rico",72003430401,313,275,250
"Census Tract 4304.02, Aguada Municipio, Puerto Rico",72003430402,274,254,250
"Census Tract 4305.01, Aguada Municipio, Puerto Rico",72003430501,197,181,200
"Census Tract 4305.02, Aguada Municipio, Puerto Rico",72003430502,315,281,300
"Census Tract 4306.01, Aguada Municipio, Puerto Rico",72003430601,227,232,250
"Census Tract 4306.02, Aguada Municipio, Puerto Rico",72003430602,211,199,200
"Census Tract 9900, Aguada Municipio, Puerto Rico",72003990000,0,0,0
"Census Tract 4001, Aguadilla Municipio, Puerto Rico",72005400100,179,167,150
"Census Tract 4003, Aguadilla Municipio, Puerto Rico",72005400300,269,277,250
"Census Tract 4004, Aguadilla Municipio, Puerto Rico",72005400400,282,234,250
"Census Tract 4005.01, Aguadilla Municipio, Puerto Rico",72005400501,282,272,250
"Census Tract 4005.02, Aguadilla Municipio, Puerto Rico",72005400502,259,236,250
"Census Tract 4006, Aguadilla Municipio, Puerto Rico",72005400600,208,206,200
"Census Tract 4007, Aguadilla Municipio, Puerto Rico",72005400700,192,191,200
"Census Tract 4008, Aguadilla Municipio, Puerto Rico",72005400800,153,132,150
"Census Tract 4009, Aguadilla Municipio, Puerto Rico",72005400900,157,154,150
"Census Tract 15, San Juan Municipio, Puerto Rico",72127001500,156,155,150
"Census Tract 16, San Juan Municipio, Puerto Rico",72127001600,163,143,150
"Census Tract 18, San Juan Municipio, Puerto Rico",72127001800,138,143,150
"Census Tract 19, San Juan Municipio, Puerto Rico",72127001900,274,253,250
"Census Tract 20.02, San Juan Municipio, Puerto Rico",72127002002,142,130,100
"Census Tract 21, San Juan Municipio, Puerto Rico",72127002100,97,77,80
"Census Tract 22, San Juan Municipio, Puerto Rico",72127002200,162,146,150
"Census Tract 23, San Juan Municipio, Puerto Rico",72127002300,123,81,80
"Census Tract 24, San Juan Municipio, Puerto Rico",72127002400,293,281,250
"Census Tract 25, San Juan Municipio, Puerto Rico",72127002500,165,155,150
"Census Tract 26, San Juan Municipio, Puerto Rico",72127002600,138,139,100
"Census Tract 28, San Juan Municipio, Puerto Rico",72127002800,151,145,100
"Census Tract 29, San Juan Municipio, Puerto Rico",72127002900,161,159,150
"Census Tract 30, San Juan Municipio, Puerto Rico",72127003000,170,160,150
"Census Tract 31, San Juan Municipio, Puerto Rico",72127003100,161,151,100
"Census Tract 32, San Juan Municipio, Puerto Rico",72127003200,211,205,200
"Census Tract 33, San Juan Municipio, Puerto Rico",72127003300,156,150,150
"Census Tract 34, San Juan Municipio, Puerto Rico",72127003400,219,197,200
"Census Tract 35.01, San Juan Municipio, Puerto Rico",72127003501,297,267,250
"Census Tract 35.02, San Juan Municipio, Puerto Rico",72127003502,150,134,100
"Census Tract 36, San Juan Municipio, Puerto Rico",72127003600,108,106,100
"Census Tract 37, San Juan Municipio, Puerto Rico",72127003700,284,267,200
"Census Tract 38, San Juan Municipio, Puerto Rico",72127003800,162,141,150
"Census Tract 39.02, San Juan Municipio, Puerto Rico",72127003902,242,234,250
"Census Tract 42, San Juan Municipio, Puerto Rico",72127004200,246,222,200
"Census Tract 43.06, San Juan Municipio, Puerto Rico",72127004306,159,153,150
"Census Tract 44, San Juan Municipio, Puerto Rico",72127004400,185,169,150
