GEOID,MUNICIPIO,HSECOMP_18,MINLANG_18,HSETRANS_18,SOCIOECON_18,OVERALL_18,SOCIOECON_17,HSECOMP_17,MINLANG_17,HSETRANS_17,OVERALL_17,SOCIOECON_16,HSECOMP_16,MINLANG_16,HSETRANS_16,OVERALL_16
72021,Bayamón,0.6883,0.1818,0.7792,0.0779,0.3506,0.0909,0.8051,0.1558,0.7532,0.3896,0.1038,0.7142,0.1818,0.6103,0.2597
72023,Cabo Rojo,0.1688,0.5454,0.8571,0.649,0.5714,0.5454,0.1948,0.4155,0.8701,0.5324,0.4415,0.0779,0.4025,0.7922,0.3246
72025,Caguas,0.7012,0.1948,0.6753,0.0909,0.2727,0.1168,0.8701,0.2077,0.7792,0.4805,0.1298,0.8051,0.2077,0.7142,0.4545
72027,Camuy,0.0909,0.4285,0.0649,0.571,0.1168,0.4805,0.1688,0.3376,0.0389,0.0519,0.5844,0.1558,0.3766,0,0.1038
72029,Canóvanas,0.3766,0.4935,0.2467,0.701,0.4285,0.5714,0.7142,0.6363,0.2337,0.5844,0.5064,0.3376,0.7012,0.1688,0.3116
72031,Carolina,0.6103,0.1298,0.7142,0.0649,0.2077,0.0389,0.7402,0.0909,0.6493,0.2337,0.0389,0.7402,0.0779,0.5194,0.1818
72033,Cataño,0.8831,0.3896,0.8831,0.857,0.948,0.8961,0.7532,0.4415,0.922,0.948,0.909,0.8961,0.3116,0.8961,0.948
72035,Cayey,0.8441,0.5844,0.6103,0.208,0.6103,0.2727,0.909,0.4805,0.5974,0.6493,0.2337,0.6753,0.5064,0.7012,0.5714
72037,Ceiba,0.4285,0.1688,0.8051,0.377,0.3766,0.3246,0.0649,0.1948,0.8051,0.1688,0.0909,0.2467,0.1298,0.4935,0.0649
72039,Ciales,0.922,0.5194,0.1038,0.818,0.7272,0.7792,0.6103,0.6623,0.1948,0.6363,0.6233,0.7922,0.7532,0.2597,0.7272
72041,Cidra,0.5454,0.6623,0.2987,0.195,0.3116,0.2207,0.8961,0.7142,0.3376,0.5974,0.1688,0.7792,0.6493,0.2207,0.3896
72043,Coamo,0.7662,0.4675,0.2077,0.117,0.2207,0.0519,0.974,0.6233,0.2597,0.4415,0.1818,0.909,0.5324,0.1948,0.3896
72045,Comerío,0.8701,0.7272,0.1948,0.883,0.8831,0.8831,0.8181,0.7662,0.3246,0.922,0.8441,0.935,0.7662,0.4285,0.922
72047,Corozal,0.3896,0.4805,0.7662,0.896,0.8311,0.8701,0.4155,0.5064,0.8311,0.8311,0.8961,0.2207,0.6103,0.8051,0.7922
72049,Culebra,0.0909,0.0129,0.987,0.273,0.1818,0.3896,0,0,0.974,0.1558,0.2857,0.7012,0.0259,0.974,0.5064
72051,Dorado,0.3636,0.0909,0.2857,0.416,0.1168,0.3506,0.5194,0.0519,0.1818,0.0779,0.3506,0.4935,0.0519,0.2077,0.0909
72053,Fajardo,1,0.1428,0.922,0.584,0.8701,0.5194,0.8311,0.1428,0.909,0.7012,0.4805,0.987,0.1298,0.935,0.8181
72054,Florida,0.5844,0.3506,0.0129,0.143,0.1038,0.1298,0.3636,0.3896,0.0259,0.0259,0.0519,0.5194,0.6623,0.0519,0.1168
72055,Guánica,0.909,0.5194,0.3246,0.961,0.8961,0.974,0.2727,0.5064,0.6753,0.7532,0.961,0.8311,0.6233,0.5974,0.935
72057,Guayama,0.7922,0.6233,0.7922,0.13,0.7142,0.1428,0.961,0.6753,0.935,0.8701,0.3376,0.8701,0.6363,0.922,0.8831
